PGA,PGV,PGD,Ds-5-95,Ds-5-75,Sa (T=0.05 sec),Sa (T=0.1 sec),Sa (T=0.2 sec),Sa (T=0.3 sec),Sa (T=0.4 sec),Sa (T=0.5 sec),Sa (T=0.75 sec),Sa (T=1 sec),Sa (T=1.5 sec),Sa (T=2 sec),Sa (T=3 sec),Sa (T=4 sec),Sa (T=5 sec),Sa (T=7.5 sec),Sa (T=10 sec),CAV,ASI,DSI,failure state
1,169.1311758,64.90776536,16.91657,4.47557,1.014705137,1.179124247,2.076503001,2.311418885,1.760697123,1.577270482,1.506786755,1.83902202,1.846239831,1.527794844,0.652526137,0.30563581,0.171315709,0.087003101,0.043299046,3.354688805,0.547103182,314.6711129,0
1,195.9565689,87.75014938,22.62986,7.69747,1.072846317,1.260228912,3.421039447,2.25740282,1.412766648,1.33834224,2.619237974,1.424639804,1.738780471,1.309519945,0.863688464,0.312583579,0.454573224,0.156124808,0.05470273,4.738660697,0.630115159,437.2401427,0
1,239.8623551,223.5173797,8.239,6.1655,1.046938722,1.11383103,1.951526286,1.942817217,1.764347285,2.281152358,2.214866027,1.022588054,0.601713755,0.602592406,0.347393642,0.629559866,0.629098528,0.31181289,0.213608581,2.489255343,0.528541242,509.4504596,0
1,219.9700045,217.767094,8.349,5.841,1.024532013,1.264334971,2.350811147,2.996494969,2.212137167,2.275604489,2.966364811,1.237728533,0.940349147,0.696822194,0.493237885,0.529307172,0.613774575,0.438582087,0.193780532,3.461703359,0.757908913,509.6696813,0
1,129.3130133,73.51107258,21.604,11.429,1.211543288,1.964337071,1.994635218,2.235219543,1.553713247,2.238244604,1.542624562,1.898509745,1.039180434,0.698597907,0.259094465,0.13712737,0.167215935,0.141664678,0.05984818,6.297813223,0.818184752,208.3779138,0
1,84.18031605,45.25927795,27.17,13.948,1.687637956,1.483728655,2.409937631,1.403134966,1.689318374,2.068520098,0.831538548,0.493022991,0.455796316,0.205299558,0.173620928,0.23911493,0.186215456,0.09975884,0.044827784,5.427648244,0.764496844,221.9808231,0
1,83.37784105,67.23202232,31.35,14.4925,1.089604477,1.425841465,3.020502544,2.648776964,1.859479355,1.415375326,0.768836561,0.553169459,0.463318874,0.312812865,0.283310162,0.242210707,0.173463662,0.159066881,0.173064893,4.744007963,0.719306198,198.9539851,0
1,171.8908196,271.008932,27.368,13.2715,0.991330855,1.636162615,3.469670779,3.057549863,2.406755237,1.866812574,0.994472049,1.018516712,0.4110954,0.292572621,0.233886085,0.240472399,0.22758778,0.177750382,0.22195252,5.416697297,0.750616776,203.954289,0
1,66.36326444,17.91797081,15.42,4.884,1.691599006,2.845117712,4.329962215,1.128116193,1.634030753,1.497352081,0.968451853,0.783928212,0.361447936,0.210375498,0.090649368,0.04012545,0.03952732,0.01569154,0.01171199,2.907474854,0.861973282,66.57950873,0
1,35.01076899,6.829757247,15.252,4.308,1.396470614,1.867994761,1.53125813,1.327323547,1.303392616,1.037253496,0.621051006,0.364604782,0.213791367,0.098503337,0.046618174,0.026723168,0.016185046,0.011866275,0.008994476,2.50764477,0.665930926,32.80338652,0
1,128.6799303,51.42852207,14.034,5.4,1.00044103,1.073171664,2.460277976,2.371058121,3.929650801,2.434531276,2.078888833,1.575693093,1.241058844,0.957804881,0.346141073,0.164204996,0.199861042,0.076231149,0.057523775,3.989951018,0.872152566,226.8649825,0
1,76.67266605,21.54053975,14.994,5.406,0.990994632,1.152877661,1.628094426,3.30858683,3.952392189,2.343855883,0.955120957,0.748449666,0.858545637,0.518350035,0.226225481,0.130082557,0.10279301,0.032283419,0.038814274,2.97962392,0.791404723,146.7945117,0
1,86.1885786,23.99372576,8.796,6.132,1.162628614,1.861660911,1.941982802,1.582862114,1.570754106,1.590095161,1.267264324,1.226833027,0.473969735,0.29808736,0.155835076,0.057985474,0.042236414,0.030981474,0.015374518,2.203970572,0.724051495,97.68575746,0
1,117.3110678,21.06263275,9.276,6.084,1.308335378,3.141848035,2.263773494,2.211700797,2.385170885,1.828203332,1.286265801,1.180486496,0.462965624,0.291119769,0.136619639,0.168077816,0.106365373,0.037867986,0.015223356,3.121456107,0.991366138,154.3674398,0
1,132.4319858,57.83557515,11.688,9.204,1.114122214,1.376623511,1.784676155,2.420890613,2.383725901,3.218315167,1.191911551,0.950113405,1.231833806,0.754645166,0.3132535,0.191309153,0.137531515,0.057004869,0.023728023,4.044669717,0.979258333,251.1585244,0
1,130.0277016,103.9942186,13.416,7.908,1.116267928,1.272510974,2.141055457,1.618249154,1.720232077,1.559737726,1.296240681,1.108451913,1.411286875,0.712104929,0.257152082,0.194868063,0.122497951,0.130032602,0.078325349,3.508751161,0.763301549,225.4395495,0
1,248.8486462,265.2023789,40.8816,25.6368,1.006410104,0.997090365,1.680001641,1.808673728,2.417370692,2.292002688,2.009435855,2.01011989,1.745841854,1.101233428,0.693079473,0.651368098,0.884915313,0.385978734,0.178899412,11.56553338,0.572131903,660.7490277,0
1,217.2119036,170.2001167,38.4816,21.6624,1.005820921,1.062566569,1.499475738,1.756967568,1.69454999,2.419651589,1.772358659,1.994782776,1.873336637,2.068777398,0.804555738,0.88682617,0.590799394,0.220234947,0.154330583,10.21232965,0.479961172,696.3332288,0
1,120.535909,62.04400005,14.58,8.976,1.070475937,1.751462415,3.225030116,2.666207205,2.341554474,2.891345503,2.487861035,1.24300171,0.930424983,0.345899471,0.370443485,0.189101921,0.105916354,0.066870814,0.053035012,4.989981856,1.082710184,224.2495413,0
1,112.8211264,60.42054738,13.488,8.088,1.076517705,1.795412437,2.193429444,2.570071253,2.960624798,2.930950082,1.864310953,1.017089181,0.79961883,0.308905015,0.243024443,0.203766858,0.151211052,0.078964827,0.046942735,4.312450046,1.096496038,225.0077381,0
1,184.5067372,77.24560506,18.45444,4.88244,1.0125278,1.13806885,2.178732063,2.267634022,2.255527421,1.523333689,1.524609454,1.846510528,1.69880256,1.652276242,0.831450856,0.375489267,0.213730922,0.076804959,0.064294982,3.659660515,0.553009979,383.2153235,0
1,213.7708024,104.4299298,24.68712,8.39724,1.048229714,1.3927545,2.499323338,2.521692162,1.723916854,1.892375778,2.67642107,1.834332041,1.759169417,1.473387939,0.992113171,0.380021955,0.432715924,0.213878568,0.073543713,5.169448033,0.641160315,464.8803415,0
1,261.6680237,266.0041544,8.988,6.726,1.045474147,1.08067107,1.803594973,1.846954968,1.524777577,1.846767583,2.144795057,0.972935727,0.641878164,0.678057458,0.346999577,0.588789662,0.667495527,0.3548801,0.240677509,2.715551283,0.541621754,512.865446,0
1,239.9672777,259.1608392,9.108,6.372,1.019970076,1.288363938,2.671471829,2.90024016,2.202644297,2.5907351,3.125962804,1.368801783,1.044963017,0.738493838,0.442473227,0.546620675,0.597813066,0.496125664,0.243129787,3.776403665,0.785518313,515.5706099,0
1,141.0687418,87.48425166,23.568,12.468,1.201780759,1.766320142,1.79885161,1.998646438,1.541182157,1.869820927,1.238302078,1.988742209,1.20749423,0.654753474,0.317666453,0.164351332,0.149064716,0.138157519,0.083482803,6.870341697,0.844397582,231.624787,0
1,91.83307205,53.86228119,29.64,15.216,1.622541406,1.500946708,2.675195011,1.53788008,1.798576421,1.963170094,0.913463518,0.539650898,0.47545737,0.290152704,0.148939096,0.222698061,0.232567303,0.10171157,0.057839085,5.921070811,0.788537554,235.5391319,0
1,90.95764478,80.01166293,34.2,15.81,1.085654142,1.338644921,3.153435782,2.691449645,2.145896001,1.792589437,0.832277975,0.516948887,0.430755787,0.394660857,0.275573199,0.226332136,0.182879668,0.142556693,0.18736439,5.175281414,0.758568458,218.4986872,0
1,187.5172578,322.5230265,29.856,14.478,0.990234139,1.6203202,3.511890044,3.024773338,2.406059167,1.602242284,1.0017304,1.031071004,0.445970167,0.39813186,0.27376363,0.213314937,0.229425169,0.178734381,0.225115181,5.909124324,0.791997747,208.7977664,0
